"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"103",9,"Luke Altmyer",DET,"QB12","23","1 out of 5","1 out of 5","5 out of 5","-3"
"104",9,"Joey Aguilar",JAC,"QB13","25","2 out of 5","1 out of 5","5 out of 5","+20"
"105",9,"Jalon Daniels",TB,"QB14","23","1 out of 5","2 out of 5","5 out of 5","-4"
"106",9,"Joe Fagnano",BAL,"QB15","25","1 out of 5","1 out of 5","5 out of 5","0"
"107",9,"Sawyer Robertson",FA,"QB16","-","1 out of 5","1 out of 5","5 out of 5","-15"
"108",9,"Kentrel Bullock",CIN,"RB28","24","1 out of 5","2 out of 5","4 out of 5","-5"
"109",9,"Emmanuel Henderson Jr.",SEA,"WR45","23","1 out of 5","1 out of 5","5 out of 5","+10"
"110",10,"Miller Moss",CHI,"QB17","24","1 out of 5","1 out of 5","5 out of 5","+16"
"111",10,"Rueben Owens II",FA,"RB29","-","2 out of 5","3 out of 5","4 out of 5","-"
"112",10,"Jack Velling",ATL,"TE21","-","1 out of 5","1 out of 5","5 out of 5","-"
"113",10,"Athan Kaliakmanis",WAS,"QB18","22","1 out of 5","1 out of 5","5 out of 5","+12"
"114",10,"Behren Morton",NE,"QB19","24","1 out of 5","1 out of 5","4 out of 5","-6"
"115",10,"Caullin Lacy",NYJ,"WR46","24","1 out of 5","1 out of 5","4 out of 5","+5"
"116",10,"Vinny Anthony II",ATL,"WR47","-","1 out of 5","1 out of 5","4 out of 5","-1"
